batch_id,drug_id,manufacturer,manufacture_date,shelf_life_months,current_stock_days,units_in_stock,turnover_rate,avg_regional_demand,storage_temp_variability,last_movement_days_ago,will_expire_soon,formulation,drug_type
BATCH_000000,DRUG_103,Manufacturer_13,27-12-2024,7,113,517,461.6,562.72,3.69,132,0,injection,painkiller
BATCH_000001,DRUG_436,Manufacturer_19,08-10-2023,11,-212,529,282.31,84.5,0.52,90,0,ointment,antifungal
BATCH_000002,DRUG_349,Manufacturer_29,14-02-2023,28,70,481,64.78,266.28,1.78,4,0,syrup,antacid
BATCH_000003,DRUG_271,Manufacturer_3,02-10-2024,24,544,508,115.31,388.06,0.58,18,0,ointment,supplement
BATCH_000004,DRUG_107,Manufacturer_26,30-10-2023,34,510,515,427.56,478.62,1.82,124,0,ointment,antacid
BATCH_000005,DRUG_72,Manufacturer_40,02-11-2024,25,606,506,258,556.51,3.58,60,0,capsule,antacid
BATCH_000006,DRUG_189,Manufacturer_12,20-11-2022,19,-290,507,491.58,50.27,3.92,45,0,syrup,supplement
BATCH_000007,DRUG_21,Manufacturer_2,06-02-2024,33,579,508,67.59,395.27,4.12,145,0,syrup,antacid
BATCH_000008,DRUG_103,Manufacturer_11,25-06-2023,8,-408,542,212.13,53.82,4.59,129,0,syrup,supplement
BATCH_000009,DRUG_122,Manufacturer_44,16-06-2022,12,-660,462,172.62,482.99,2.15,177,1,ointment,supplement
BATCH_000010,DRUG_467,Manufacturer_28,25-05-2024,12,49,484,262.91,132.32,4.38,70,0,injection,antifungal
BATCH_000011,DRUG_215,Manufacturer_18,27-07-2022,9,-711,486,320.38,542.04,3.77,176,0,syrup,antifungal
BATCH_000012,DRUG_331,Manufacturer_13,23-08-2023,34,442,503,334.2,135.32,2.92,113,0,ointment,supplement
BATCH_000013,DRUG_459,Manufacturer_37,13-05-2022,28,-207,515,10.63,470.38,4.8,17,1,capsule,painkiller
BATCH_000014,DRUG_88,Manufacturer_22,06-05-2023,10,-397,520,53.59,209.12,4.76,107,1,injection,antihistamine
BATCH_000015,DRUG_373,Manufacturer_12,01-06-2022,22,-371,520,27.18,356.49,4.54,89,1,capsule,painkiller
BATCH_000016,DRUG_100,Manufacturer_2,10-05-2024,31,612,512,433.65,384.64,1.41,143,0,injection,supplement
BATCH_000017,DRUG_360,Manufacturer_37,09-12-2023,9,-211,511,163.51,163.72,1.44,45,1,ointment,antihistamine
BATCH_000018,DRUG_152,Manufacturer_7,26-12-2023,28,385,527,189.86,214.28,4.55,102,0,tablet,antifungal
BATCH_000019,DRUG_131,Manufacturer_26,27-01-2025,18,478,473,230.68,109.13,2.29,93,0,injection,antihistamine
BATCH_000020,DRUG_150,Manufacturer_26,06-05-2022,21,-427,516,426.16,52.91,4.09,152,0,capsule,supplement
BATCH_000021,DRUG_309,Manufacturer_24,26-10-2022,21,-254,507,16.94,181.71,3.59,135,1,ointment,antifungal
BATCH_000022,DRUG_258,Manufacturer_12,16-03-2025,36,1074,516,68.12,333.8,3.93,63,0,injection,antihistamine
BATCH_000023,DRUG_344,Manufacturer_16,07-02-2023,7,-576,500,345.73,442.48,0.62,141,0,tablet,antihistamine
BATCH_000024,DRUG_492,Manufacturer_23,06-05-2024,23,365,484,482.31,486.46,2.43,21,0,tablet,painkiller
BATCH_000025,DRUG_414,Manufacturer_40,25-11-2022,6,-681,486,324.97,88.37,4.36,115,0,syrup,antihistamine
BATCH_000026,DRUG_294,Manufacturer_9,02-03-2023,23,-66,488,137.95,199.83,2.7,77,1,syrup,supplement
BATCH_000027,DRUG_386,Manufacturer_32,23-07-2022,31,-45,508,264.73,473.62,3.61,90,0,capsule,antibiotic
BATCH_000028,DRUG_192,Manufacturer_15,25-04-2024,35,719,516,487.74,314.48,3.9,34,0,injection,antibiotic
BATCH_000029,DRUG_444,Manufacturer_37,10-06-2024,13,95,433,268.76,150.2,1.04,103,0,injection,antibiotic
BATCH_000030,DRUG_277,Manufacturer_13,11-10-2024,16,310,520,193.02,265.72,1.2,178,0,syrup,supplement
BATCH_000031,DRUG_161,Manufacturer_5,21-02-2024,29,472,505,197.88,198.52,3.76,75,0,injection,antibiotic
BATCH_000032,DRUG_460,Manufacturer_11,01-10-2023,29,329,483,483.85,77.86,0.75,170,0,injection,painkiller
BATCH_000033,DRUG_314,Manufacturer_10,12-10-2022,20,-299,500,362.27,469.99,2.04,74,0,tablet,supplement
BATCH_000034,DRUG_22,Manufacturer_13,19-09-2022,21,-291,525,346.71,210.43,4.63,130,0,syrup,antifungal
BATCH_000035,DRUG_253,Manufacturer_41,18-11-2023,22,164,501,123.71,569.82,3.08,106,0,ointment,supplement
BATCH_000036,DRUG_236,Manufacturer_46,05-07-2024,22,394,520,284.15,538.47,4.6,18,0,syrup,supplement
